"Statistic Label","Year","Sex","Age Group","UNIT","VALUE"
"Persons who use e-cigarettes","2015","Both sexes","All ages","%","3.1"
"Persons who use e-cigarettes","2015","Both sexes","15 - 19 years","%","0.4"
"Persons who use e-cigarettes","2015","Both sexes","20 - 24 years","%","1.6"
"Persons who use e-cigarettes","2015","Both sexes","25 - 29 years","%","4.5"
"Persons who use e-cigarettes","2015","Both sexes","30 - 34 years","%","3.7"
"Persons who use e-cigarettes","2015","Both sexes","35 - 39 years","%","4.9"
"Persons who use e-cigarettes","2015","Both sexes","40 - 44 years","%","5.3"
"Persons who use e-cigarettes","2015","Both sexes","45 - 49 years","%","4.7"
"Persons who use e-cigarettes","2015","Both sexes","50 - 54 years","%","2.4"
"Persons who use e-cigarettes","2015","Both sexes","55 - 59 years","%","1.8"
"Persons who use e-cigarettes","2015","Both sexes","60 - 64 years","%","2.1"
"Persons who use e-cigarettes","2015","Both sexes","65 - 69 years","%","3.3"
"Persons who use e-cigarettes","2015","Both sexes","70 - 74 years","%","0.9"
"Persons who use e-cigarettes","2015","Both sexes","75 years and over","%","0.7"
"Persons who use e-cigarettes","2015","Male","All ages","%","3.2"
"Persons who use e-cigarettes","2015","Male","15 - 19 years","%","0.7"
"Persons who use e-cigarettes","2015","Male","20 - 24 years","%","2"
"Persons who use e-cigarettes","2015","Male","25 - 29 years","%","5.5"
"Persons who use e-cigarettes","2015","Male","30 - 34 years","%","3.3"
"Persons who use e-cigarettes","2015","Male","35 - 39 years","%","5"
"Persons who use e-cigarettes","2015","Male","40 - 44 years","%","5"
"Persons who use e-cigarettes","2015","Male","45 - 49 years","%","5.1"
"Persons who use e-cigarettes","2015","Male","50 - 54 years","%","3"
"Persons who use e-cigarettes","2015","Male","55 - 59 years","%","1.3"
"Persons who use e-cigarettes","2015","Male","60 - 64 years","%","1.5"
"Persons who use e-cigarettes","2015","Male","65 - 69 years","%","4.4"
"Persons who use e-cigarettes","2015","Male","70 - 74 years","%","0.7"
"Persons who use e-cigarettes","2015","Male","75 years and over","%","0"
"Persons who use e-cigarettes","2015","Female","All ages","%","2.9"
"Persons who use e-cigarettes","2015","Female","15 - 19 years","%","0.2"
"Persons who use e-cigarettes","2015","Female","20 - 24 years","%","1.1"
"Persons who use e-cigarettes","2015","Female","25 - 29 years","%","3.2"
"Persons who use e-cigarettes","2015","Female","30 - 34 years","%","4"
"Persons who use e-cigarettes","2015","Female","35 - 39 years","%","4.8"
"Persons who use e-cigarettes","2015","Female","40 - 44 years","%","5.6"
"Persons who use e-cigarettes","2015","Female","45 - 49 years","%","4.4"
"Persons who use e-cigarettes","2015","Female","50 - 54 years","%","1.9"
"Persons who use e-cigarettes","2015","Female","55 - 59 years","%","2.2"
"Persons who use e-cigarettes","2015","Female","60 - 64 years","%","2.7"
"Persons who use e-cigarettes","2015","Female","65 - 69 years","%","2.2"
"Persons who use e-cigarettes","2015","Female","70 - 74 years","%","1.2"
"Persons who use e-cigarettes","2015","Female","75 years and over","%","1.2"
"Persons who use e-cigarettes","2016","Both sexes","All ages","%","3.4"
"Persons who use e-cigarettes","2016","Both sexes","15 - 19 years","%","0"
"Persons who use e-cigarettes","2016","Both sexes","20 - 24 years","%","2.3"
"Persons who use e-cigarettes","2016","Both sexes","25 - 29 years","%","4.6"
"Persons who use e-cigarettes","2016","Both sexes","30 - 34 years","%","3.7"
"Persons who use e-cigarettes","2016","Both sexes","35 - 39 years","%","4.7"
"Persons who use e-cigarettes","2016","Both sexes","40 - 44 years","%","4.3"
"Persons who use e-cigarettes","2016","Both sexes","45 - 49 years","%","4.2"
"Persons who use e-cigarettes","2016","Both sexes","50 - 54 years","%","4.4"
"Persons who use e-cigarettes","2016","Both sexes","55 - 59 years","%","4.7"
"Persons who use e-cigarettes","2016","Both sexes","60 - 64 years","%","4.3"
"Persons who use e-cigarettes","2016","Both sexes","65 - 69 years","%","3"
"Persons who use e-cigarettes","2016","Both sexes","70 - 74 years","%","1.8"
"Persons who use e-cigarettes","2016","Both sexes","75 years and over","%","0.9"
"Persons who use e-cigarettes","2016","Male","All ages","%","3.4"
"Persons who use e-cigarettes","2016","Male","15 - 19 years","%","0"
"Persons who use e-cigarettes","2016","Male","20 - 24 years","%","1.5"
"Persons who use e-cigarettes","2016","Male","25 - 29 years","%","4.2"
"Persons who use e-cigarettes","2016","Male","30 - 34 years","%","3.8"
"Persons who use e-cigarettes","2016","Male","35 - 39 years","%","4.6"
"Persons who use e-cigarettes","2016","Male","40 - 44 years","%","5.6"
"Persons who use e-cigarettes","2016","Male","45 - 49 years","%","4.1"
"Persons who use e-cigarettes","2016","Male","50 - 54 years","%","4.2"
"Persons who use e-cigarettes","2016","Male","55 - 59 years","%","4.7"
"Persons who use e-cigarettes","2016","Male","60 - 64 years","%","4.2"
"Persons who use e-cigarettes","2016","Male","65 - 69 years","%","2.4"
"Persons who use e-cigarettes","2016","Male","70 - 74 years","%","0.9"
"Persons who use e-cigarettes","2016","Male","75 years and over","%","1.6"
"Persons who use e-cigarettes","2016","Female","All ages","%","3.5"
"Persons who use e-cigarettes","2016","Female","15 - 19 years","%","0"
"Persons who use e-cigarettes","2016","Female","20 - 24 years","%","3.1"
"Persons who use e-cigarettes","2016","Female","25 - 29 years","%","5"
"Persons who use e-cigarettes","2016","Female","30 - 34 years","%","3.7"
"Persons who use e-cigarettes","2016","Female","35 - 39 years","%","4.9"
"Persons who use e-cigarettes","2016","Female","40 - 44 years","%","3.1"
"Persons who use e-cigarettes","2016","Female","45 - 49 years","%","4.3"
"Persons who use e-cigarettes","2016","Female","50 - 54 years","%","4.5"
"Persons who use e-cigarettes","2016","Female","55 - 59 years","%","4.7"
"Persons who use e-cigarettes","2016","Female","60 - 64 years","%","4.3"
"Persons who use e-cigarettes","2016","Female","65 - 69 years","%","3.4"
"Persons who use e-cigarettes","2016","Female","70 - 74 years","%","2.7"
"Persons who use e-cigarettes","2016","Female","75 years and over","%","0.3"
"Persons who use e-cigarettes","2017","Both sexes","All ages","%","3.7"
"Persons who use e-cigarettes","2017","Both sexes","15 - 19 years","%","1"
"Persons who use e-cigarettes","2017","Both sexes","20 - 24 years","%","3.5"
"Persons who use e-cigarettes","2017","Both sexes","25 - 29 years","%","4.4"
