head_of_duty,year,quantity_of_measure,volume
Beer Import,2024,litres of alcohol,6316779.48
Beer Home,2024,litres of alcohol,11626579.24
Cider and Perry Import,2024,litres   ,7177047
Cider and Perry Home,2024,litres   ,43697151
Spirits Import,2024,litres of alcohol,3364631.27
Spirits Home,2024,litres of alcohol,5891983.42
Wine up to 5.5 percent,2024,litres   ,7665703
Wine Still between 5.5 and 15 percent,2024,litres   ,82720549
Wine Still over 15 percent,2024,litres   ,696280
Wine Sparkling over 5.5 percent,2024,litres   ,2598831
Tobacco Cigarettes,2024,thousands,1666948
Tobacco  Cigars,2024,kilograms,11090
Fine Cut Tobacco,2024,kilograms,273992
Tobacco Other,2024,kilograms,5354
MHLO Leaded Petrol ,2024,thousand litres,
MHLO Unleaded Petrol,2024,thousand litres,1067423.17
MHLO SuperPlus Unleaded,2024,thousand litres,
MHLO Aviation Gasoline,2024,thousand litres,646.43
Autodiesel,2024,thousand litres,3563126.17
Marked Gas Oil (MGO),2024,thousand litres,1166974.45
Kerosene,2024,thousand litres,972768.98
Fuel Oil used in manufacture of Alumina,2024,thousand litres,
Residual Fuel Oils,2024,thousand litres,12053
Liquefied Petroleum Gas Other,2024,thousand litres,271677.4
Liquefied Petroleum Gas Auto ,2024,thousand litres,1088.19
Bookmaking Licences number issued,2024,Number Issued,76
Bookmaking Premises number issued,2024,Number Issued,600
Remote Betting Intermediary's,2024,Number Issued,2
Remote Bookmaker's,2024,Number Issued,23
Beer Import,2023,litres of alcohol,6545654.99
Beer Home,2023,litres of alcohol,11684936.96
Cider and Perry Import,2023,litres   ,7215830
Cider and Perry Home,2023,litres   ,45376059
Spirits Import,2023,litres of alcohol,6102377.31
Spirits Home,2023,litres of alcohol,3549166.931
Wine up to 5.5 percent,2023,litres   ,7537423
Wine Still between 5.5 and 15 percent,2023,litres   ,84782671
Wine Still over 15 percent,2023,litres   ,708151
Wine Sparkling over 5.5 percent,2023,litres   ,2593460
Tobacco Cigarettes,2023,thousands,1795450
Tobacco  Cigars,2023,kilograms,14095
Fine Cut Tobacco,2023,kilograms,328562
Tobacco Other,2023,kilograms,6681
MHLO Leaded Petrol ,2023,thousand litres,0
MHLO Unleaded Petrol,2023,thousand litres,1009612.78
MHLO SuperPlus Unleaded,2023,thousand litres,0
MHLO Aviation Gasoline,2023,thousand litres,915.65
Autodiesel,2023,thousand litres,3627770.15
Marked Gas Oil (MGO),2023,thousand litres,1101245
Kerosene,2023,thousand litres,918064
Fuel Oil used in manufacture of Alumina,2023,thousand litres,-
Residual Fuel Oils,2023,thousand litres,23684.96
Liquefied Petroleum Gas Other,2023,thousand litres,359018.47
Liquefied Petroleum Gas Auto ,2023,thousand litres,2661.26
Bookmaking Licences number issued,2023,Number Issued,155
Bookmaking Premises number issued,2023,Number Issued,180
Remote Betting Intermediary's,2023,Number Issued,7
Remote Bookmaker's,2023,Number Issued,70
Beer Import,2022,litres of alcohol,7186034.95
Beer Home,2022,litres of alcohol,11484715.83
Cider and Perry Import,2022,litres   ,8238456
Cider and Perry Home,2022,litres   ,47474225
Spirits Import,2022,litres of alcohol,6417074.46
Spirits Home,2022,litres of alcohol,3442948.18
Wine up to 5.5 percent,2022,litres   ,7494136
Wine Still between 5.5 and 15 percent,2022,litres   ,85248899
Wine Still over 15 percent,2022,litres   ,723489
Wine Sparkling over 5.5 percent,2022,litres   ,2835092
Tobacco Cigarettes,2022,thousands,2204131
Tobacco  Cigars,2022,kilograms,15538
Fine Cut Tobacco,2022,kilograms,368346
Tobacco Other,2022,kilograms,7373
MHLO Leaded Petrol ,2022,thousand litres,-
