commodity_and_head_of_duty,year , net_receipts_ 
Alcohols Beer - Import,2024,142375976.5
Alcohols Beer - Home,2024,255420701.4
Alcohols Cider and Perry - Import,2024,6433182.9
Alcohols Cider and Perry - Home,2024,40826299.6
Alcohols Spirits - Import,2024,252617785.8
Alcohols Spirits - Home,2024,145522420.8
Alcohols Wine,2024,369404178.2
Alcohols Made Wine,2024,22789415.2
Tobacco Cigarettes,2024,840101991.1
Tobacco Cigars /Fine Cut / Other Smoking,2024,135982046.1
Mineral Hydrocarbon Light Oils - Import ,2024,540742525.2
Mineral Hydrocarbon Light Oils - Home ,2024,
Hydrocarbon Heavy Oils  - AutoDiesel,2024,1395473022
Hydrocarbon Heavy Oils - Marked Gas Oil,2024,31841005.93
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2024,189793.33
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2024,90302.81
Carbon Auto Diesel,2024,490062077.3
Carbon Petrol,2024,127571828
Carbon Aviation Gasoline,2024,83770.76
Carbon Kerosene,2024,133358608.7
Carbon Marked Gas Oil,2024,140810953.9
Carbon Fuel Oil,2024,970298.94
Carbon Other LPG,2024,27829881.38
Carbon Auto LPG,2024,97118.1
Carbon Natural Gas,2024,125168756
Carbon Solid Fuel,2024,21533580
Electricity Tax,2024,5393911
Sugar Tax,2024,30505379.18
Vehicle Registration Tax,2024,949328458.4
Excise Duty on Premises or Activities - Traditional Betting Duty,2024,46661423.72
Excise Duty on Premises or Activities - Remote Betting Duty,2024,95373146.17
Excise Duty on Premises or Activities - Betting Commissions Duty,2024,-783066.29
Excise Duty on Premises or Activities - Bookmakers Licences,2024,39750
Excise Duty on Premises or Activities - Bookmaking Premises,2024,456000
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2024,20000
Excise Duty on Premises or Activities - Remote Bookmaker's,2024,230000
Excise Duty on Premises or Activities - Clubs,2024,350560
Excise Duty on Premises or Activities - Public Dancing Licences,2024,2149440
Excise Duty on Premises or Activities - Licences,2024,19622705
Excise Duty on Premises or Activities - An Post,2024,
Alcohols Beer - Import,2023,149346951.6
Alcohols Beer - Home,2023,254997129.8
Alcohols Cider and Perry - Import,2023,6810544.8
Alcohols Cider and Perry - Home,2023,43180961.4
Alcohols Spirits - Import,2023,258456164.8
Alcohols Spirits - Home,2023,151616811.4
Alcohols Wine,2023,373638444.1
Alcohols Made Wine,2023,21807590.6
Tobacco Cigarettes,2023,856961831.5
Tobacco Cigars /Fine Cut / Other Smoking,2023,148129379.7
Mineral Hydrocarbon Light Oils - Import ,2023,412430788.1
Mineral Hydrocarbon Light Oils - Home ,2023,
Hydrocarbon Heavy Oils  - AutoDiesel,2023,1149521105
Hydrocarbon Heavy Oils - Marked Gas Oil,2023,4407814.76
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2023,350698.95
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2023,192953
Carbon Auto Diesel,2023,446696761.1
Carbon Petrol,2023,107968680.9
Carbon Aviation Gasoline,2023,105018.68
Carbon Kerosene,2023,104870081.4
Carbon Marked Gas Oil,2023,122205112
Carbon Fuel Oil,2023,1286029.71
Carbon Other LPG,2023,24930762.09
Carbon Auto LPG,2023,223401.57
Carbon Natural Gas,2023,107164951.7
Carbon Solid Fuel,2023,19199237.65
Electricity Tax,2023,4245903.32
Sugar Tax,2023,28934631.34
Vehicle Registration Tax,2023,878300513.1
Excise Duty on Premises or Activities - Traditional Betting Duty,2023,47537932
Excise Duty on Premises or Activities - Remote Betting Duty,2023,51322680
Excise Duty on Premises or Activities - Betting Commissions Duty,2023,3819600
Excise Duty on Premises or Activities - Bookmakers Licences,2023,77250
Excise Duty on Premises or Activities - Bookmaking Premises,2023,136800
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2023,120000
Excise Duty on Premises or Activities - Remote Bookmaker's,2023,1185000
Excise Duty on Premises or Activities - Clubs,2023,361670
